% Context
% Using TA-Lib : Technical Analysis Library. Backtest on the SPY Index data, using support and resistance indicators or any other indicator. 
% Content
% Data contains daily SPY Index: 
% Date    Open    High    Low Close   Adj Close   Volume
% Acknowledgements
% Support for Resistance: Technical Analysis
% WIKI link: https://en.wikipedia.org/wiki/Support_and_resistance
% Inspiration
% Do your best for the backtest and technical indicator implementation
@RELATION Technical-Indicator-Backtest

@ATTRIBUTE Date STRING
@ATTRIBUTE Open REAL
@ATTRIBUTE High REAL
@ATTRIBUTE Low REAL
@ATTRIBUTE Close REAL
@ATTRIBUTE Adj_Close REAL
@ATTRIBUTE Volume INTEGER

@DATA
1/29/1993,43.9687,43.9687,43.75,43.9375,43.9375,1003200
2/1/1993,43.9687,44.25,43.9687,44.25,44.25,480500
2/2/1993,44.2187,44.375,44.125,44.3437,44.3437,201300
2/3/1993,44.4062,44.8437,44.375,44.8125,44.8125,529400
2/4/1993,44.9687,45.0937,44.4687,45.0,45.0,531500
2/5/1993,44.9687,45.0625,44.7187,44.9687,44.9687,492100
2/8/1993,44.9687,45.125,44.9062,44.9687,44.9687,596100
2/9/1993,44.8125,44.8125,44.5625,44.6562,44.6562,122100
2/10/1993,44.6562,44.75,44.5312,44.7187,44.7187,379600
2/11/1993,44.7812,45.125,44.7812,44.9375,44.9375,19500
2/12/1993,44.875,44.875,44.5937,44.5937,44.5937,42500
2/16/1993,44.4687,44.4687,43.4062,43.4687,43.4687,374800
2/17/1993,43.4687,43.5312,43.2812,43.4375,43.4375,210900
2/18/1993,43.9375,43.9375,42.8125,43.4062,43.4062,378100
2/19/1993,43.4062,43.5625,43.3437,43.5625,43.5625,34900
2/22/1993,43.6875,43.7812,43.5625,43.7187,43.7187,513600
2/23/1993,43.8437,43.875,43.4687,43.6875,43.6875,373700
2/24/1993,43.7187,44.25,43.7187,44.25,44.25,26300
2/25/1993,44.2187,44.375,44.125,44.3437,44.3437,44500
2/26/1993,44.4375,44.4375,44.1875,44.4062,44.4062,66200
3/1/1993,44.5625,44.5625,44.2187,44.2812,44.2812,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,44.9375,182400
3/3/1993,45.0,45.1562,44.9375,45.125,45.125,280100
3/4/1993,45.1875,45.1875,44.875,44.875,44.875,89500
3/5/1993,44.9375,45.125,44.7187,44.75,44.75,40000
3/8/1993,44.8437,45.75,44.8437,45.75,45.75,50800
3/9/1993,45.6562,45.6875,45.5,45.5937,45.5937,169300
3/10/1993,45.5937,45.6875,45.4062,45.6875,45.6875,194400
3/11/1993,45.7187,45.8437,45.5,45.5625,45.5625,70900
3/12/1993,45.1875,45.2187,44.8125,45.0937,45.0937,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,45.3125,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,45.3125,30800
3/17/1993,45.25,45.25,44.9687,45.0312,45.0312,21800
3/18/1993,45.2187,45.5,45.2187,45.3125,45.3125,59300
3/19/1993,45.2812,45.2812,45.0312,45.0312,45.0312,66900
3/22/1993,44.5937,44.875,44.5625,44.7812,44.7812,183400
3/23/1993,44.9062,44.9375,44.8125,44.875,44.875,55200
3/24/1993,44.8125,45.0625,44.5937,44.875,44.875,37200
3/25/1993,44.9062,45.25,44.8437,45.1562,45.1562,110100
3/26/1993,45.125,45.1562,44.875,44.9062,44.9062,101500
3/29/1993,44.9375,45.3125,44.9375,45.0937,45.0937,87100
3/30/1993,45.1562,45.2187,45.0937,45.2187,45.2187,56000
3/31/1993,45.3437,45.4687,45.1875,45.1875,45.1875,111600
4/1/1993,45.25,45.25,44.9375,45.0312,45.0312,129500
4/2/1993,44.6562,44.6562,44.0937,44.0937,44.0937,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,44.3125,172200
4/6/1993,44.4062,44.4062,44.0625,44.1875,44.1875,129700
4/7/1993,44.25,44.3437,44.1562,44.3437,44.3437,28000
4/8/1993,44.5312,44.5312,44.0937,44.2812,44.2812,180800
4/12/1993,44.7187,44.9375,44.6562,44.9062,44.9062,348500
4/13/1993,44.875,45.1562,44.8437,45.0,45.0,146100
4/14/1993,45.0312,45.0625,44.9062,44.9375,44.9375,119600
4/15/1993,44.9062,45.0312,44.75,44.9375,44.9375,148600
4/16/1993,44.9687,45.0312,44.875,44.9375,44.9375,47900
4/19/1993,44.9375,45.0625,44.7187,44.75,44.75,157000
4/20/1993,44.6875,44.75,44.25,44.5312,44.5312,279500
4/21/1993,44.625,44.625,44.375,44.5,44.5,67900
4/22/1993,44.3125,44.6875,43.9375,43.9375,43.9375,97700
4/23/1993,43.8437,43.9687,43.6875,43.75,43.75,106000
4/26/1993,43.7812,43.9375,43.2812,43.4062,43.4062,62600
4/27/1993,43.3437,43.875,43.3437,43.875,43.875,156800
4/28/1993,43.8125,43.9062,43.7187,43.7812,43.7812,85900
4/29/1993,43.875,43.9687,43.625,43.9687,43.9687,85000
4/30/1993,44.125,44.2812,44.0312,44.0312,44.0312,88500
5/3/1993,44.0937,44.3125,43.9062,44.3125,44.3125,80500
5/4/1993,44.4062,44.625,44.3437,44.4687,44.4687,149100
5/5/1993,44.4687,44.75,44.4687,44.5937,44.5937,109000
5/6/1993,44.5312,44.5625,44.4062,44.4375,44.4375,54700
5/7/1993,44.4687,44.4687,44.2812,44.3437,44.3437,68000
5/10/1993,44.4062,44.6875,44.4062,44.4375,44.4375,113900
5/11/1993,44.4375,44.625,44.3125,44.625,44.625,42600
5/12/1993,44.4375,44.5937,44.4375,44.5625,44.5625,31000
5/13/1993,44.375,44.375,44.0,44.0312,44.0312,129100
5/14/1993,44.0312,44.1562,43.9687,44.0,44.0,63500
5/17/1993,44.125,44.1562,43.9375,44.1562,44.1562,34000
5/18/1993,44.1875,44.2187,43.9687,44.125,44.125,105200
5/19/1993,44.125,45.0312,43.8437,45.0312,45.0312,50200
5/20/1993,45.0312,45.1562,44.9375,45.1562,45.1562,98200
5/21/1993,45.1875,45.25,44.7187,44.75,44.75,221400
5/24/1993,44.8437,45.0937,44.8437,44.9375,44.9375,30500
5/25/1993,45.125,45.125,45.0312,45.0312,45.0312,191800
5/26/1993,45.1562,45.625,45.125,45.5937,45.5937,102400
5/27/1993,45.6562,45.6562,45.375,45.4375,45.4375,53800
5/28/1993,45.4062,45.4062,45.0,45.2187,45.2187,79100
6/1/1993,45.375,45.8125,45.3125,45.6562,45.6562,28300
6/2/1993,45.5312,45.75,45.3437,45.5937,45.5937,20300
6/3/1993,45.5,45.5,45.3437,45.4375,45.4375,21600
6/4/1993,45.3125,45.3125,45.0937,45.2812,45.2812,32000
6/7/1993,45.375,45.375,45.125,45.125,45.125,121400
6/8/1993,45.0,45.0,44.7187,44.7187,44.7187,104500
6/9/1993,44.875,45.0625,44.8125,44.875,44.875,43300
6/10/1993,44.8437,44.9375,44.75,44.9062,44.9062,17900
6/11/1993,45.0625,45.1562,44.9062,45.0937,45.0937,647400
6/14/1993,45.1562,45.1875,45.0312,45.0312,45.0312,64200
6/15/1993,45.0937,45.125,44.9375,44.9375,44.9375,142400
6/16/1993,44.9375,45.0312,44.8125,45.0312,45.0312,330900
6/17/1993,45.125,45.1875,45.0312,45.1875,45.1875,37400
6/18/1993,44.8437,44.8437,44.5,44.5,44.5,58500
6/21/1993,44.625,44.625,44.5312,44.5937,44.5937,29300
6/22/1993,44.6562,44.6562,44.5625,44.625,44.625,137500
6/23/1993,44.625,44.625,44.2187,44.2187,44.2187,227600
6/24/1993,44.3437,44.8125,44.3437,44.8125,44.8125,243700
6/25/1993,44.7812,44.9062,44.75,44.7812,44.7812,44800
6/28/1993,45.0,45.2812,44.9375,45.2812,45.2812,439900
6/29/1993,45.2187,45.2187,45.0,45.0625,45.0625,207500
6/30/1993,45.125,45.2187,45.0,45.0625,45.0625,437600
7/1/1993,45.125,45.125,44.875,44.9375,44.9375,605700
7/2/1993,44.7812,44.8125,44.5312,44.6875,44.6875,285400
7/6/1993,44.625,44.75,44.1562,44.2187,44.2187,246400
7/7/1993,44.1875,44.4062,44.1875,44.3437,44.3437,343700
7/8/1993,44.375,44.9375,44.3125,44.8437,44.8437,248200
7/9/1993,44.8437,44.9687,44.75,44.9687,44.9687,378200
7/12/1993,44.9062,44.9687,44.8437,44.9375,44.9375,373700
7/13/1993,44.9687,45.0937,44.6562,44.9062,44.9062,389600
7/14/1993,44.9375,45.1875,44.9062,45.0625,45.0625,617300
7/15/1993,45.0312,45.0312,44.7812,44.875,44.875,443800
7/16/1993,44.9062,44.9375,44.6875,44.75,44.75,216400
7/19/1993,44.75,44.75,44.5937,44.7187,44.7187,188200
7/20/1993,44.6875,44.8437,44.4687,44.8437,44.8437,68500
7/21/1993,44.7812,44.8125,44.6562,44.8125,44.8125,142700
7/22/1993,44.75,44.8125,44.5,44.5,44.5,632400
7/23/1993,44.5937,44.7187,44.5625,44.7187,44.7187,286200
7/26/1993,44.8437,45.0625,44.8437,44.9687,44.9687,121300
7/27/1993,45.0,45.0312,44.7812,44.9375,44.9375,92800
7/28/1993,44.8437,44.9375,44.7812,44.8437,44.8437,30800
7/29/1993,44.9375,45.2187,44.875,45.0937,45.0937,331000
7/30/1993,45.0937,45.0937,44.7812,44.8437,44.8437,75300
8/2/1993,44.9062,45.125,44.9062,44.9687,44.9687,41300
8/3/1993,45.0625,45.1875,44.8437,45.0,45.0,81600
8/4/1993,45.0,45.0937,44.875,45.0,45.0,434000
8/5/1993,45.0,45.0,44.8437,44.9062,44.9062,36800
8/6/1993,45.0312,45.0625,44.9062,44.9687,44.9687,402300
8/9/1993,45.0937,45.3437,45.0,45.2187,45.2187,828200
8/10/1993,45.1875,45.2187,45.125,45.1875,45.1875,604900
8/11/1993,45.1562,45.3125,45.1562,45.1875,45.1875,542200
8/12/1993,45.3125,45.3125,44.9062,45.0625,45.0625,303700
8/13/1993,45.0937,45.1562,45.0937,45.125,45.125,103500
8/16/1993,45.1562,45.5,45.1562,45.375,45.375,241800
8/17/1993,45.3437,45.5312,45.3437,45.5312,45.5312,369300
8/18/1993,45.6875,45.875,45.6562,45.7812,45.7812,414300
8/19/1993,45.8125,45.8125,45.7187,45.7812,45.7812,28500
8/20/1993,45.6875,45.8125,45.6562,45.8125,45.8125,80700
8/23/1993,45.625,45.75,45.625,45.7187,45.7187,15600
8/24/1993,45.7187,46.2187,45.7187,46.2187,46.2187,273400
8/25/1993,46.2187,46.4375,46.1562,46.25,46.25,242300
8/26/1993,46.2812,46.5312,46.0937,46.2812,46.2812,120000
8/27/1993,46.1562,46.25,46.1562,46.25,46.25,25700
8/30/1993,46.2812,46.5,46.2812,46.4375,46.4375,183500
8/31/1993,46.4062,46.5625,46.3437,46.5625,46.5625,66500
9/1/1993,46.4062,46.5937,46.4062,46.5,46.5,136500
9/2/1993,46.5312,46.5937,46.3125,46.3437,46.3437,472400
9/3/1993,46.3125,46.4375,46.25,46.375,46.375,630500
9/7/1993,46.375,46.4375,46.0,46.0625,46.0625,196400
9/8/1993,46.0625,46.0625,45.5937,45.9062,45.9062,269900
9/9/1993,45.7187,46.0312,45.7187,46.0,46.0,239200
9/10/1993,46.125,46.4375,46.0625,46.4062,46.4062,106500
9/13/1993,46.5625,46.5625,46.4375,46.4375,46.4375,66900
9/14/1993,46.3125,46.3125,46.0937,46.25,46.25,184500
9/15/1993,46.0625,46.4062,45.9062,46.375,46.375,101000
9/16/1993,46.3125,46.3437,46.1562,46.1875,46.1875,54300
9/17/1993,45.875,45.9062,45.75,45.8125,45.8125,200900
9/20/1993,45.875,45.9687,45.4375,45.4375,45.4375,57800
9/21/1993,45.5,45.5625,44.8125,45.2812,45.2812,318200
9/22/1993,45.4375,45.7187,45.375,45.6562,45.6562,439700
9/23/1993,45.7812,45.9375,45.7187,45.9062,45.9062,88500
9/24/1993,45.8437,45.875,45.7187,45.7812,45.7812,53500
9/27/1993,46.125,46.2812,46.125,46.2812,46.2812,274600
9/28/1993,46.3125,46.3125,46.1562,46.1875,46.1875,158300
9/29/1993,46.1875,46.3125,45.9687,46.0312,46.0312,221000
9/30/1993,46.0312,46.125,45.8437,45.9375,45.9375,99300
10/1/1993,45.875,46.2187,45.8125,46.1562,46.1562,22700
10/4/1993,46.2187,46.2187,46.0937,46.2187,46.2187,1038500
10/5/1993,46.3125,46.3125,46.0,46.1562,46.1562,436500
10/6/1993,46.1875,46.375,46.125,46.125,46.125,209200
10/7/1993,46.1875,46.1875,45.9687,46.0,46.0,59400
10/8/1993,46.125,46.1562,45.7187,46.0625,46.0625,54400
10/11/1993,46.1562,46.25,46.1562,46.1562,46.1562,467100
10/12/1993,46.2187,46.25,46.1875,46.2187,46.2187,26200
10/13/1993,46.25,46.25,46.1562,46.2187,46.2187,139100
10/14/1993,46.4062,46.8125,46.2812,46.8125,46.8125,108100
10/15/1993,47.0312,47.1562,46.9062,47.0625,47.0625,1502500
10/18/1993,47.0312,47.0312,46.875,46.9375,46.9375,722400
10/19/1993,46.875,46.9687,46.5937,46.5937,46.5937,880100
10/20/1993,46.75,46.75,46.5625,46.6562,46.6562,230400
10/21/1993,46.6875,46.6875,46.5312,46.5937,46.5937,56200
10/22/1993,46.6562,46.8437,46.375,46.375,46.375,390700
10/25/1993,46.4062,46.5625,46.2812,46.5,46.5,114500
10/26/1993,46.4687,46.5,46.3125,46.4687,46.4687,186200
10/27/1993,46.4062,46.5312,46.4062,46.5,46.5,118400
10/28/1993,46.5625,46.9687,46.5625,46.8437,46.8437,129600
10/29/1993,46.8125,46.875,46.7812,46.8437,46.8437,80700
11/1/1993,46.7812,47.0,46.7812,46.9687,46.9687,36400
11/2/1993,46.9062,47.0,46.6562,46.9375,46.9375,262100
11/3/1993,46.9062,46.9062,46.125,46.3437,46.3437,479100
11/4/1993,46.3437,46.3437,45.8125,45.8437,45.8437,130400
11/5/1993,45.7187,46.0625,45.5312,46.0625,46.0625,363200
11/8/1993,46.0937,46.25,45.9687,46.125,46.125,367600
11/9/1993,46.4375,46.4687,46.125,46.1562,46.1562,246900
11/10/1993,46.1562,46.5,46.0312,46.5,46.5,46500
11/11/1993,46.5,46.625,46.3437,46.375,46.375,88900
11/12/1993,46.4687,46.75,46.4375,46.5937,46.5937,108200
11/15/1993,46.6875,46.6875,46.4375,46.5625,46.5625,243300
11/16/1993,46.6562,46.8125,46.4687,46.7812,46.7812,492600
11/17/1993,46.8125,46.8125,46.4062,46.5312,46.5312,39600
11/18/1993,46.4687,46.5625,46.2812,46.4062,46.4062,240800
11/19/1993,46.25,46.375,46.2187,46.3125,46.3125,106000
11/22/1993,46.1875,46.2187,45.875,46.0312,46.0312,165300
11/23/1993,46.2812,46.3125,46.0312,46.2812,46.2812,89700
11/24/1993,46.4062,46.5,46.3437,46.4687,46.4687,77200
11/26/1993,46.5937,46.5937,46.4687,46.5,46.5,1019800
11/29/1993,46.625,46.7187,46.3125,46.3125,46.3125,517500
11/30/1993,46.2812,46.5625,46.25,46.3437,46.3437,230000
12/1/1993,46.5937,46.625,46.4062,46.4062,46.4062,379200
12/2/1993,46.5,46.5625,46.4062,46.5312,46.5312,352000
12/3/1993,46.5,46.7187,46.5,46.7187,46.7187,306000
12/6/1993,46.7812,46.9375,46.7812,46.875,46.875,99500
12/7/1993,46.875,46.9062,46.7812,46.8437,46.8437,88800
12/8/1993,46.8437,46.8437,46.7812,46.8437,46.8437,146700
12/9/1993,46.8437,46.9062,46.625,46.6875,46.6875,416500
12/10/1993,46.7187,46.7187,46.5,46.5937,46.5937,412900
12/13/1993,46.5937,46.875,46.5312,46.875,46.875,273200
12/14/1993,46.9062,46.9062,46.5312,46.5312,46.5312,41900
12/15/1993,46.5937,46.625,46.4687,46.4687,46.4687,82600
12/16/1993,46.6562,46.6562,46.5625,46.625,46.625,78200
12/17/1993,46.4062,46.5937,46.375,46.5625,46.5625,104700
12/20/1993,46.5312,46.6562,46.5,46.625,46.625,68800
12/21/1993,46.5625,46.5625,46.4062,46.4687,46.4687,205700
12/22/1993,46.5937,46.8125,46.5,46.7812,46.7812,410300
12/23/1993,46.75,46.8437,46.6875,46.75,46.75,533800
12/27/1993,46.75,47.0,46.75,47.0,47.0,447100
